layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,embedding,gather,"{""ids"": [1, 1], ""output"": [1, 4096]}",0,0,{},8192,8,8192,,1
aggregate; see repeats,input_and_post_attention_norm,normalization,"{""rows"": 1, ""width"": 4096}",0,20481,"{""rsqrt"": 1}",8192,8192,8192,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",120
aggregate; see repeats,two_residuals_per_layer,elementwise,{},0,4096,{},0,16384,8192,,120
aggregate; see repeats,full.q_and_gate,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 16384], ""weight_storage"": [16384, 4096], ""output"": [1, 16384]}",134217728,0,{},134217728,8192,32768,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,15
aggregate; see repeats,full.key,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 512], ""weight_storage"": [512, 4096], ""output"": [1, 512]}",4194304,0,{},4194304,8192,1024,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,15
aggregate; see repeats,full.value,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 512], ""weight_storage"": [512, 4096], ""output"": [1, 512]}",4194304,0,{},4194304,8192,1024,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,15
aggregate; see repeats,full.output,linear,"{""input"": [1, 8192], ""weight_math"": [8192, 4096], ""weight_storage"": [4096, 8192], ""output"": [1, 4096]}",67108864,0,{},67108864,16384,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,15
aggregate; see repeats,full.q_norm,normalization,"{""rows"": 32, ""width"": 256}",0,33056,"{""rsqrt"": 32}",512,16384,16384,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",15
aggregate; see repeats,full.k_norm,normalization,"{""rows"": 2, ""width"": 256}",0,2306,"{""rsqrt"": 2}",512,1024,1024,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",15
aggregate; see repeats,full.apply_partial_rope,rotary,{},0,6528,{},0,4352,4352,Rotation multiplication/addition only; shared position-id and sin/cos construction are listed in the reference supplement.,15
aggregate; see repeats,full.QK,attention_matrix,"{""valid_pairs"": 8193, ""rectangular_pairs"": 8193, ""heads"": 32, ""head_dim"": 256}",134234112,0,{},0,0,0,"Valid causal arithmetic; eager full rectangle work is separately reported, not inferred GPU execution.",15
aggregate; see repeats,full.PV,attention_matrix,"{""valid_pairs"": 8193, ""rectangular_pairs"": 8193, ""heads"": 32, ""head_dim"": 256}",134234112,0,{},0,0,0,"Valid causal arithmetic; eager full rectangle work is separately reported, not inferred GPU execution.",15
aggregate; see repeats,full.softmax,softmax,{},0,1048672,"{""exp"": 262176, ""max_comparisons"": 262144}",0,0,0,"Scale/subtract/reduce/divide over valid pairs; softmax FP32, full score materialization not assumed.",15
aggregate; see repeats,full.output_gate,elementwise,{},0,8192,"{""sigmoid"": 8192}",0,32768,16384,,15
aggregate; see repeats,linear.qkv,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 12288], ""weight_storage"": [12288, 4096], ""output"": [1, 12288]}",100663296,0,{},100663296,8192,24576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,45
aggregate; see repeats,linear.z,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 8192], ""weight_storage"": [8192, 4096], ""output"": [1, 8192]}",67108864,0,{},67108864,8192,16384,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,45
aggregate; see repeats,linear.a,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 64], ""weight_storage"": [64, 4096], ""output"": [1, 64]}",524288,0,{},524288,8192,128,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,45
aggregate; see repeats,linear.b,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 64], ""weight_storage"": [64, 4096], ""output"": [1, 64]}",524288,0,{},524288,8192,128,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,45
aggregate; see repeats,linear.output,linear,"{""input"": [1, 8192], ""weight_math"": [8192, 4096], ""weight_storage"": [4096, 8192], ""output"": [1, 4096]}",67108864,0,{},67108864,16384,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,45
aggregate; see repeats,linear.causal_conv_valid,depthwise_conv,"{""channels"": 12288, ""kernel"": 4, ""valid_taps_per_channel_request"": 4}",98304,0,{},98304,0,0,Only mathematically valid nonpadding tap products. Padded fallback conv1d and cached history recomputation are not this valid subtotal.,45
aggregate; see repeats,linear.conv_silu,activation,{},0,12288,"{""sigmoid"": 12288}",0,24576,24576,,45
aggregate; see repeats,linear.decay_and_beta,gate,{},0,128,"{""exp"": 64, ""softplus"": 64, ""sigmoid"": 64}",384,0,0,A_log.float() and a.float() establish FP32 decay arithmetic; A_log/dt_bias operand bytes follow verified checkpoint dtypes. exp(A_log) once per invocation; explicit cast interfaces are in the supplement.,45
aggregate; see repeats,linear.repeat_qk,copy,"{""repeat_factor"": 4}",0,0,{},0,8192,32768,Logical expanded Q/K interfaces; a kernel can avoid materialization.,45
aggregate; see repeats,linear.qk_l2norm_and_query_scale,normalization,{},0,57344,"{""rsqrt"": 128}",0,0,0,"Squares,reduction,epsilon,normalization plus query scaling; FP32 core. Reduction convention counts KD-1 additions.",45
aggregate; see repeats,linear.gated_output_norm,normalization,"{""rows"": 64, ""width"": 128}",0,32832,"{""rsqrt"": 64}",256,16384,16384,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",45
aggregate; see repeats,linear.norm_z_gate,activation,{},0,16384,"{""sigmoid"": 8192}",0,0,0,SiLU(z) then multiplication with normalized values.,45
aggregate; see repeats,linear.recurrent.state_read_K,state_matrix,"{""loop_tokens"": 1, ""state"": [1, 64, 128, 128]}",2097152,0,{},0,0,0,,45
aggregate; see repeats,linear.recurrent.outer_update,state_matrix,{},2097152,0,{},0,0,0,,45
aggregate; see repeats,linear.recurrent.state_read_Q,state_matrix,{},2097152,0,{},0,0,0,,45
aggregate; see repeats,linear.recurrent.decay_delta,elementwise,{},0,1064960,"{""exp"": 64}",0,4194304,4194304,One logical persistent-state read/write; intermediate state passes not counted as measured memory.,45
aggregate; see repeats,moe.router,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 512], ""weight_storage"": [512, 4096], ""output"": [1, 512]}",4194304,0,{},4194304,8192,1024,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.router_softmax_topk,router,{},0,1554,"{""exp"": 512, ""topk_selections"": 1, ""max_comparisons"": 511}",0,0,0,Topk algorithm comparison count unknown; FP32 probabilities and top10 renormalization.,60
aggregate; see repeats,moe.expert0.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert0.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert1.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert1.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert2.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert2.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
