number	decision	reason
1	备查	Explainable Port Mapping 用有限计数器和反例修正 Zen 执行端口模型；5 的实测反馈可借鉴，CPU 微架构推断暂不扩为正文案例。
2	排除	Longnail 从 CoreDSL／HLS 生成 RISC-V 自定义指令硬件；定制 ISA 工具链不是本书 AI 模型切分和执行的主线。
3	备查	SEER 用等价图表达 HLS 重写搜索；5.3 可对照代价模型与搜索空间，需先与已有自动调优案例去重，不采用摘要最大加速比。
4	备查	HIDA 用分层数据流 IR 编译 FPGA 神经网络；5 可留作编译抽象对照，暂不展开 FPGA HLS 工具链。
5	优先候选	TCCL 对 PCIe 多传输争用做 profiling，再搜索集合通信路径；适合 6／7／11 的普通 PCIe 集群案例，先与 rPCIeBench／AutoCCL 对照，不能当当前 NCCL 默认能力。
6	优先候选	Centauri 联合通信原语、分组拓扑和工作量分块，在算子／层／模型层次安排重叠；6／11 可补切分推算，需核对与已有重叠案例的新增判断。
7	候选	T3 用硬件跟踪与触发支持 TP 计算和集合通信的细粒度重叠；4／6 可比较软硬件分工，不能写成现有 GPU 通用特性；官方摘要混入图中文字，原样保留。
8	备查	Two-Face 按区域密度组合集合与单边通信，服务分布式 SpMM；7 可借鉴粒度取舍，但 CPU 图计算不是 LLM MoE 的直接实测。
9	候选	Intel DSA 定量研究涉及复制、检查和批处理卸载；12 的 CPU／数据搬移预算可参考，需核对队列与核占用，区分此 DSA 与 DeepSeek 注意力同名缩写。
10	备查	Thesios 从采样 I/O 恢复反事实轨迹，研究策略改变后的可比性；13 可补实验输入可信度，与已有 ServeGen 去重，未读方法前不采用摘要精度。
11	优先候选	CaSiO 回顾多类深度学习负载在三代 GPU 上的框架、设备 API 和硬件瓶颈；4／5 可补架构演进方法，历史 MLPerf 覆盖批评不能当作 2026 现状。
12	备查	DVFS Boosting 根据多年生产部署讨论功耗超配与可靠容量；13 可参考机房供电约束，CPU 集群的收益不能直接外推 GPU 训练。
13	排除	Rubix 通过地址映射混淆降低 Rowhammer 影响；内存攻击防护细节不增加本书模型资源推算能力。
14	排除	TAROT 使用 CXL SmartNIC 防御 Rowhammer；重点是安全漏洞处置，不因包含 CXL／SmartNIC 就纳入 AI 互联案例。
15	排除	Pythia 面向非控制数据攻击与 ARM 指针认证；不展开为 AI Infra 的主线内容。
16	排除	FaaS 共址攻击与主机指纹研究属于云安全攻击方法；12 保留隔离需求即可，不增加攻击实现篇幅。
17	排除	Plankton 将二进制与调试信息匹配以改善提升分析；不直接回答模型算子、图融合或执行资源问题。
18	排除	WYTIWYG 从动态轨迹恢复二进制栈布局；不是模型推理图重编译；官方摘要速度数字符号损坏，未自行修复。
19	排除	复杂二进制反汇编的代码／数据识别研究不属于本书编译器主线。
20	排除	FITS 推断 IoT 固件污点源用于漏洞分析；不增加 AI 服务执行的关键量化判断。
21	排除	二进制变换避免指令时序侧信道；不扩写为 GPU 算子优化案例。
22	排除	公共云 LLC 侧信道攻击是安全研究；12 不需要详述攻击条件和密码提取方法。
23	排除	Pathfinder 利用条件分支预测器恢复控制流；与本书 Agent 路由／模型执行路径不是同一问题。
24	排除	Pentimento 研究云 FPGA 的数据残留；不因涉及云计算就加入模型基础设施主线。
25	排除	Kimbap 用稀疏归约和节点属性映射支持通用分布式图分析；CPU 图算法框架暂不扩展为 LLM 系统案例。
26	候选	TrackFM 通过编译器与运行时配合访问远端内存；10 的内存池可比较透明性与局部性，但不能假定模型 KV 具有相同访问规律。
27	候选	SMART 指出细粒度远端访问受 RNIC 门铃、未完成请求和 CAS 重试限制；7／10 可补带宽以外的 IOPS 上限，需对真实 KV 粒度和并发做推算。
28	候选	CC-NIC 为缓存一致互联重设计主机／NIC 接口；4／7 可比较轮询、通知与缓存驻留，UPI 建模结果不能冒充已交付 NIC 性能。
29	历史对照	SpecInfer 的树形起草和并行验证可交代推测执行来历；9 已有更新的机制，保留历史位置，不再增加旧系统介绍节。
30	候选	ExeGPT 根据输入／输出分布和延迟约束选择 batch 与部分 TP；9／10 可对照当前调度，但 T5／OPT／GPT-3 和 FasterTransformer 基线需与现有案例区分。
31	备查	Proteus 联合模型精度、异构放置和请求分配，在固定资源下控制超时；12 的质量／成本路由可借鉴，不直接套为当前 reasoning 模型质量。
32	候选	SpotServe 联合可抢占资源、重切分迁移和细粒度恢复；10／12 可比较低价与状态搬移成本，先与 RLBoost 及现有恢复材料去重。
33	备查	Wizard 在 Wasm 字节码层插入和移除探针，强调组合分析的一致性；12／13 可留观测成本线索，不扩写具体虚拟机实现。
34	备查	ShapleyIQ 在依赖图上估算异常对端到端性能的影响；13 可参考归因方法，但不引入一套与本书粗算主线脱节的形式化分析。
35	候选	Loupe 按真实应用动态行为确定兼容层所需 OS 功能；12 可比较 sandbox 启动与工具兼容，不能把基准可运行当任意 Agent 工具均支持。
36	候选	Amanda 将不同后端的 tracing、profiling 和优化表达为算子级插桩；5／13 可借鉴统一观测与开销控制，摘要典型开销不推广为所有模型保证。
37	排除	GIANTSAN 通过元数据分段折叠降低内存检查开销；虽有减少访存思想，安全 sanitizer 实现不作为模型算子主线。
38	排除	RSTI 用 ARM 指针认证约束 C/C++ 类型与作用域；不展开为本书模型服务运行环境案例。
39	候选	LFI 提供 ARM64 软件故障隔离，在单地址空间容纳多 sandbox；12 可与 lightweight VM 比较密度、兼容性和可信边界，4 GiB 地址空间不等于每环境实际驻留 4 GiB。
40	备查	FreePart 按框架调用与数据对象做时序隔离；12 可留作库内隔离对照，但不把 23 个应用的漏洞测试推广为完整 Agent sandbox 安全性。
41	候选	DREAM 根据动态任务／模型／层调度实时多模型负载；3／8／12 可参考阶段变化与资源预算，UXCost 是论文自定指标，需换回具体延迟和能耗解释。
42	备查	SoCFlow 利用移动 SoC 集群空闲时间训练，结合延迟聚合和混合精度；11／13 可对照低功耗资源，但收敛、网络和同功耗口径必须单独核对。
43	候选	NetPack 联合作业 GPU 放置、网络带宽和交换机统计聚合资源；7／12 可补共享资源约束，先与 CASSINI 和现有网络放置去重。
44	候选	RAP 用共同运行代价模型和水平融合让 DLRM 输入预处理利用 GPU 空余资源；5／11 可补融合与干扰，但推荐模型的 CPU／GPU 占比不能套为 LLM。
45	候选	MAGIS 联合图拆分、重排、重算和交换，兼顾张量形状及生命周期；5／11 可补容量与流量的 Pareto 取舍，需核对与已有 tiling／checkpoint 内容的区别。
46	备查	FP8／Posit8 研究将低精度扩展到非 GEMM 运算与 LoRA；4／9 可说明格式、融合和硬件代价，边缘 Transformer 结果不等于当前大模型全流程精度保证。
47	候选	Cocco 联合网络图划分与片上存储配置，减少容量需求和片外通信；4／5 可补芯片设计视角，搜索得到的成本降低需核对硬件模型与实测范围。
48	备查	Atalanta 为定点量化张量设计无损压缩硬件；4／9 可区分编码后容量、解压吞吐和原有量化误差，不能把 Tensorcore 型研究加速器写成当前 GPU 原生功能。
49	排除	Harp 利用基因图的准顺序结构加速长读段映射；属于计算基因组专用加速，不是本书模型 Infra 的直接案例。
50	备查	GSCore 联合 3D Gaussian Splatting 算法与渲染硬件优化；4 可留工作负载驱动设计线索，不为图像背景再增加渲染架构细节。
51	备查	BeeZip 将哈希和匹配并行度分开，权衡压缩比、吞吐和存储开销；10 的搬移压缩可借鉴，但通用数据集结果不能当作 KV 压缩效果。
52	备查	ACES 按稀疏模式调整 SpMM 执行与缓存并发；4／5 可比较局部性和并行度，先与已有稀疏计算案例去重。
