layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,embedding_lookup,embedding,"{""ids"": [1, 1], ""output"": [1, 7168]}",0,0,{},14336,0,14336,,1
aggregate; see repeats,input_rmsnorm,normalization,"{""input"": [1, 7168], ""weight"": [7168], ""output"": [1, 7168]}",0,28673,"{""rsqrt"": 1}",14336,14336,14336,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,post_attention_rmsnorm,normalization,"{""input"": [1, 7168], ""weight"": [7168], ""output"": [1, 7168]}",0,28673,"{""rsqrt"": 1}",14336,14336,14336,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,q_a_proj,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 1536], ""weight_storage"": [1536, 7168], ""output"": [1, 1536]}",22020096,0,{},22020096,14336,3072,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,q_b_proj,linear,"{""input"": [1, 1536], ""weight_math"": [1536, 24576], ""weight_storage"": [24576, 1536], ""output"": [1, 24576]}",75497472,0,{},75497472,3072,49152,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,kv_a_proj_with_mqa,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 576], ""weight_storage"": [576, 7168], ""output"": [1, 576]}",8257536,0,{},8257536,14336,1152,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,kv_b_proj,linear,"{""input"": [1, 512], ""weight_math"": [512, 32768], ""weight_storage"": [32768, 512], ""output"": [1, 32768]}",33554432,0,{},33554432,1024,65536,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,o_proj,linear,"{""input"": [1, 16384], ""weight_math"": [16384, 7168], ""weight_storage"": [7168, 16384], ""output"": [1, 7168]}",234881024,0,{},234881024,32768,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,61
aggregate; see repeats,q_a_layernorm,normalization,"{""input"": [1, 1536], ""weight"": [1536], ""output"": [1, 1536]}",0,6145,"{""rsqrt"": 1}",3072,3072,3072,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,kv_a_layernorm,normalization,"{""input"": [1, 512], ""weight"": [512], ""output"": [1, 512]}",0,2049,"{""rsqrt"": 1}",1024,1024,1024,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,61
aggregate; see repeats,rotary_q_and_shared_k,position,"{""q_rotary"": [1, 128, 1, 64], ""k_rotary"": [1, 1, 1, 64]}",0,24768,"{""sign_negation"": 4128}",0,16768,16512,2 multiplies + 1 add per rotary cell; sign flips separate. Cos/sin table operands read once per token and broadcast over heads. YaRN tables assumed prepared.,61
aggregate; see repeats,expanded_kv_append,cache,"{""key"": [1, 128, 1, 192], ""value"": [1, 128, 1, 128]}",0,0,{},0,81920,81920,Logical newly expanded cache records only; shared rotary branch is repeated across key heads. DynamicCache concatenation/copies are not these bytes.,61
aggregate; see repeats,qk_scores,attention,"{""query"": [1, 128, 1, 192], ""keys"": [1, 128, 8193, 192], ""scores_rectangle"": [1, 128, 1, 8193]}",402702336,0,{},0,402751488,2097408,Logical Q/K read once each; valid triangular cells versus eager rectangular work selected explicitly.,61
aggregate; see repeats,score_scale_softmax,attention,"{""accounted_cells"": 1048704, ""query_rows"": 128}",0,4194688,"{""exp"": 1048704, ""compare_max"": 1048576}",0,2097408,2097408,"Scale + stable subtract/exp/sum/divide; eager includes explicit mask addition. Softmax internally FP32; logical interface is activation dtype, internal casts separate.",61
aggregate; see repeats,pv_output,attention,"{""probability_rectangle"": [1, 128, 1, 8193], ""values"": [1, 128, 8193, 128], ""output"": [1, 128, 1, 128]}",268468224,0,{},0,270565632,32768,,61
aggregate; see repeats,router_fp32,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 256], ""weight_storage"": [256, 7168], ""output"": [1, 256]}",3670016,0,{},7340032,28672,1024,Source explicitly casts input and gate weights to FP32. Operands use FP32; conversion/source reads are not hidden in this GEMM.,58
aggregate; see repeats,router_sigmoid_and_correction,routing,"{""scores"": [1, 256]}",0,256,"{""sigmoid"": 256}",1024,1024,2048,One correction-bias add per expert; original sigmoid scores remain for weighting.,58
aggregate; see repeats,router_group_sum_and_weight_normalization,routing,"{""group_top2"": [1, 8, 2], ""selected"": [1, 8]}",0,32,{},0,96,64,"Each group sums top-2; selected original scores sum (k-1), epsilon add, k divisions and k scale multiplications. Selection operation counts are separate; topk comparisons are backend dependent.",58
aggregate; see repeats,dense_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 18432], ""weight_storage"": [18432, 7168], ""output"": [1, 18432]}",264241152,0,{},264241152,14336,36864,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,3
aggregate; see repeats,dense_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 18432], ""weight_storage"": [18432, 7168], ""output"": [1, 18432]}",264241152,0,{},264241152,14336,36864,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,3
aggregate; see repeats,dense_down,linear,"{""input"": [1, 18432], ""weight_math"": [18432, 7168], ""weight_storage"": [7168, 18432], ""output"": [1, 7168]}",264241152,0,{},264241152,36864,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,3
aggregate; see repeats,dense_silu_and_product,activation,"{""gate_and_up"": [1, 18432]}",0,36864,"{""sigmoid"": 18432}",0,73728,36864,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",3
aggregate; see repeats,shared_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,shared_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,shared_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,shared_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_0_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_0_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_0_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_0_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_1_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_1_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_1_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_1_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_2_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_2_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_2_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_2_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_3_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_3_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_3_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_3_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_4_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_4_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_4_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_4_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_5_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_5_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_5_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_5_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_6_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_6_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
