number	decision	reason
1	候选待读	ProfInfer 用 eBPF 补 llama.cpp 等边缘执行的细粒度观察，可补 5.5／13；摘要开销不能外推到所有引擎。
2	候选待读	扩散草稿的对齐与伸缩，和已有 DFlash 等比较后补 9.3，不新增算法目录。
3	候选待读	一致性蒸馏与块因果掩码改变模型训练及采样；可补 2／9，不能当作原自回归模型的透明内核替换。
4	备选，不新增	从硬件代码预测 PPA 可作 4／13 的模型误差对照，当前不增加硬件生成专题。
5	候选待读	Superchip 上 KV 放置与 SLO，适合 10.3／10.5；GH200 的 C2C 与普通 PCIe 卸载需分别计量。
6	备选，不新增	多模型选择、提前退出与权重加载有联系，但不扩充提前退出模型家族。
7	备选，不新增	LinkedIn 语义职位检索的模型与上下文压缩可作服务成本对照；应用质量与泛用模型能力不同。
8	排除正文	超内存 UMAP 的向量降维专用执行，不扩展本书 LLM 贯穿案例。
9	候选待读	Trainium NKI 的 Agent 优化与跨任务记忆，补 5.3.5 的反馈；kernel 峰值利用率不能当系统 MFU。
10	候选待读	低秩模型结构改变 TP 通信与算力比例，可补 6／11；要区分模型变更和等价执行优化。
11	候选待读	TiDAR 的扩散草稿与自回归验证在模型内结合，和 DFlash 等比较；不是所有现成权重都可直接启用。
12	候选待读	移动 CPU／GPU／内存频率与能耗联合取舍，可补 4／9，保留设备和功耗边界。
13	排除正文	个性化遗忘及零知识证明，主要是隐私与学习算法问题。
14	备选，不新增	差分隐私训练的状态与通信有参考价值；这里的 DP 不能混同数据并行，不增隐私专题。
15	候选待读	Google TPU 生产 autotuning 的长期经验可强化 5.3：代价模型提出候选，真实测量选择方案。
16	备选，不新增	存储卸载突破 GNN 全图容量；内存层次方法可借鉴，避免增加 GNN 专题。
17	候选待读	ExecuTorch 的端侧 PyTorch 执行与后端边界，可补 5.5 的系统分工，避免框架罗列。
18	排除正文	卫星协同与仿真环境，当前第 8 章收敛为少量 AI 交互案例。
19	候选待读	XProf 的跨主机与加速器性能观察和 Roofline，可补 5／13；和现有 Nsight 路径同题比较。
20	重点阅读并整合	vLLM 启动的 CPU、编译缓存、KV 探测与图捕获，补 10.6.2、实验 10-10，并接回 5.4／12.2。
21	备选，不新增	按归因关闭激活会改变模型计算与质量，不能只把速度收益归于等价执行。
22	排除正文	微控制器的生成式权重压缩超出当前端侧大模型容量主线。
23	排除正文	对话 RAG 的本体与长期记忆管理属于应用语义，不能混成 KV 状态复用。
24	候选待读	GUARD 的训练慢节点诊断可补 11.4；继续读误报、检测时间与生产条件再决定采用。
25	候选待读	FlashInfer-Bench 已有官方项目材料，补读正式论文以核对 5.3 的正确性和实测反馈，不新增工具节。
26	重点阅读并整合	CRAFT 按层分配专家副本预算，和 KV 容量一起算；补 10.4.2、实验 10-6，保留 SGLang v0.4.8 历史条件。
27	候选待读	上下文边到达边 prefill 的追加与更新约束，适合 8／9／10；不能提前使用尚未到达的因果前缀。
28	候选待读	弹性混合并行与训练一致性，适合 11／12，与 Rubick 比较；固定全局 batch 不足以证明所有训练语义一致。
29	候选待读	800 H100 的以太网集群与实际作业分布可补 7／12；HPL、分配率与模型 MFU 分开。
30	候选待读	草稿模型重构将接受率、参数与执行时间联系，作为 9.3 既有推测解码案例的对照。
31	候选待读	长上下文训练的无参数核心 attention 分离可补 11.3；区别于专家 FFN 分离，先核对跨池数据与实际规模。
32	重点阅读并整合	MoE 的独立活跃专家、padding 与阶段瓶颈，补 6.3.2、10.4.1／10.4.3；通信比值独立复算。
33	候选待读	Meta 的备件与大作业可靠性解析推算适合 11.4／12，先算失效与维修边界再决定是否需要仿真。
34	备选，不新增	跳过 KV 生成及激活引导会改变推理路径，和现有 9.4 压缩质量案例合并比较。
35	候选待读	Agent 用轨迹反馈提出 TPU 分片候选，可补 6／13 的优化流程；不要把小组工作负载胜率当通用能力。
36	备选，不新增	符号 GPU DSL 与编译可补 5.3 的执行表达，当前不增加 DSL 名录。
37	候选待读	片上集合通信硬件可补 4／6，对照实际资源和面积；仿真不能直接当跨节点网络收益。
38	备选，不新增	企业模型优化的自动编排可作 5／12 对照，不重复介绍压缩和调参工具。
39	备选，不新增	去中心化学习的拓扑改变信息混合和质量，不能按同步 SGD 的等价通信替换解释。
40	备选，不新增	生产 VM NUMA 放置与尾部约束可补 12 的 CPU／内存局部性，暂不扩成云调度算法章节。
41	备选，不新增	用 LLM 生成 autotuning 搜索算法，与直接生成 kernel 不同；和已有 5.3 优化流程合并。
42	候选待读	RaidServe 在设备失效后重构 TP 并恢复 KV，适合 10.6；须核对布局转换和恢复期间服务目标。
43	排除正文	越狱判定 oracle 的安全评估，超出当前性能和资源分析范围。
44	候选待读	异构设备与网络上的 RL 阶段配置适合 11.5／12；和 R1／V4、verl 的实际更新路径比较。
45	候选待读	动态 megakernel 的 Event Tensor 表达可补 5.4；和已有 persistent／图执行对照后再取舍。
46	候选待读	Chakra 用执行轨迹表达计算、通信与依赖，适合 13 的实测校准；不能跳过初始推算直接依赖仿真。
47	候选待读	Google AIRS 在有限 TPU 预算下安排评估推理，适合 12 的在线预留与批任务优先级；质量评估工作负载单独记录。
48	候选待读	在 vLLM 上比较多类推测解码、batch 与验证成本，直接补 9.3 的收益条件；先核对版本及各基线。
49	候选待读	ProTrain 用真实 profiling 校准内存、卸载与重计算选择，适合 11／13；不把自动选择当作无需测量。
50	候选待读	BatchLLM 利用离线批次的全局前缀与输出长度安排 token，适合 9.1／9.2；vLLM 0.6.4 历史路径与当前实现分别核对。
51	排除正文	联邦学习的安全聚合和密码协议，不扩充本书当前集合通信算法范围。
52	候选待读	OSWorld-Human 比较 Computer Use 的真实步骤与延迟，适合 8／12；可检验网络优化之外的模型调用与多余回合。
53	备选，不新增	3D Gaussian Splatting 的排序与数据流优化可作方法对照，当前不加三维渲染专题；标题与摘要方法名需引用前核对。
54	排除正文	谄媚与模型输出鲁棒性评测，重点是行为质量而非基础设施设计。
55	候选待读	微缩放格式的 scale 选择与 NVFP4 attention，适合 4／9 的精度取舍；量化误差和任务质量不能等同。
56	候选待读	稀疏 attention 自推测与统一调度，和 48 及已有 DFlash 比较后决定 9.3 落点；验证精确性需读正文。
57	备选，不新增	实时视频的首帧、逐帧 SLO 与多卡流水有参考价值，第 8 章仍保持少量既定交互案例。
58	备选，不新增	学习型优化器的 CUDA 执行成本可作 11 的对照，当前不扩展优化器算法与库目录。
59	候选待读	FaaScale 在权重分发期间形成临时 PP 服务，适合 7／10.6／12；需同时算传输、执行和扩容期间排队。
60	候选待读	FarSkip-Collective 修改模型依赖以允许通信重叠，适合 13 的架构协同；蒸馏与精度条件不能省略，非透明运行时优化。
61	备选，不新增	生成式视频丢包恢复可作媒体任务特性对照，不等同准确传回 Computer Use 截图或无损传输。
62	候选待读	OPKV 的稀疏选择与按需取回接到 10.5，与 HiSparse 比较页组织、元数据和高 batch 召回成本。
63	候选待读	MAC-Attention 利用近似查询复用计算，适合 9.4；保留完整 KV 不等于注意力结果数学上完全相同，需核对匹配误差。
64	候选待读	TokenWeave 的 AllReduce-RMSNorm 融合及 SM 占用适合 5→6；小 token 批的重叠可能得不偿失，核对真实形状。
