program_order	doi	title	decision	reason
1	10.1109/micro61859.2024.00011	Hardware-Assisted Virtualization of Neural Processing Units for Cloud Platforms	candidate	以 NPU 的计算单元共享解释隔离粒度与利用率，待读硬件辅助、ISA／运行时及模拟条件，不当作现有 GPU 分区功能。
11	10.1109/micro61859.2024.00020	A Mess of Memory System Benchmarking, Simulation and Application Profiling	include	选读物理页 3–6，采用读写组成、实际流量与带宽—延迟曲线校准方法；用 Qwen3 KV 和明确假设推算并发访存，接入 1.3.3／实验 1-4／图 1-3 与 4.3.3，不采用论文性能或未核清的硬件数字。
12	10.1109/micro61859.2024.00021	vTrain: A Simulation Framework for Evaluating Cost-Effective and Compute-Optimal Large Language Model Training	candidate	在容量、计算和通信下界之后，用 profiling 支持并行配置筛选；待读依赖和误差条件，与 MAD-Max 比较，模拟预测不等于真实训练结果。
14	10.1109/micro61859.2024.00023	Unleashing CPU Potential for Executing GPU Programs Through Compiler/Runtime Optimizations	reference	GPU 线程到 CPU 执行的迁移需要匹配编译和运行时，保留可移植性背景；通用 benchmark 的收益不能代替 KTransformers 专家路径或矩阵精度相同的比较。
15	10.1109/micro61859.2024.00024	A Framework for Fine-Grained Program Versioning	reference	运行时依赖检查与回退可放宽静态优化条件；作为第 5 章合法性背景，现有特化与反馈案例已覆盖主线，不另增 LLVM 优化专题。
22	10.1109/micro61859.2024.00030	SUV: Static Analysis Guided Unified Virtual Memory	candidate	编译器推断访问语义，选择固定驻留、边界预取和按需迁移；待读超额订阅、HBM 预留与错误判断代价，再与现有显式权重卸载比较。
23	10.1109/micro61859.2024.00031	STAR: Sub-Entry Sharing-Aware TLB for Multi-Instance GPU	candidate	MIG 分区仍可能共享地址转换资源；待读实际芯片、TLB 干扰和新硬件条件，检验第 11 章隔离与资源预算，不宣称当前全部 MIG 均有同样边界。
25	10.1109/micro61859.2024.00033	Trinity: A General Purpose FHE Accelerator	exclude	统一加速 CKKS、TFHE 及转换是同态加密专用问题，超出当前模型执行主线；不把 FHE 的 multi-modal 误作多模态模型。
27	10.1109/micro61859.2024.00035	Accelerating Zero-Knowledge Proofs Through Hardware-Algorithm Co-Design	exclude	零知识证明的生成、传输与验证属于密码协议，虽然包含可验证 ML 用途，也不直接补充现有推理与训练性能案例。
29	10.1109/micro61859.2024.00037	Beehive: A Flexible Network Stack for Direct-Attached Accelerators	reference	网络协议 tile、主机旁路和可管理性可作 SmartNIC 背景；FPGA／UDP 加速器 RPC 不直接代表 LLM 服务，暂不增设案例。
30	10.1109/micro61859.2024.00038	Stellar: An Automated Design Framework for Dense and Sparse Spatial Accelerators	reference	统一生成密集与稀疏空间加速器可作编译工具背景；仅取得机构原始摘要，不能据此宣称自动获得某种 GPU 性能。
31	10.1109/micro61859.2024.00039	LUCIE: A Universal Chiplet-Interposer Design Framework for Plug-and-Play Integration	reference	chiplet 与 interposer 的模块化、放置及制造成本可作第 4 章背景；仅机构摘要已读，不将特定拓扑成本或上市时间当作通用芯片结论。
42	10.1109/micro61859.2024.00048	BBS: Bi-Directional Bit-Level Sparsity for Deep Learning Acceleration	reference	对 bit-level 稀疏还需核负载均衡、编码与专用执行；其二进制剪枝可能改变质量，不等同于透明低位宽或现成 Tensor Core 功能。
43	10.1109/micro61859.2024.00049	SCAR: Scheduling Multi-Model AI Workloads on Heterogeneous Multi-Chiplet Module Accelerators	candidate	异构 chiplet 的算子映射与层间流水影响能耗和负载均衡；待读十种模型场景、基线及 EDP 条件，避免通用硬件排名。
45	10.1109/micro61859.2024.00051	Low-Overhead General-Purpose Near-Data Processing in CXL Memory Expanders	candidate	比较主机调用、设备计算和传输成本，判断近数据卸载粒度；需读 CPU／GPU 基线及模拟范围，不把设备间工作迁移当作免费优化。
46	10.1109/micro61859.2024.00052	PIFS-Rec: Process-In-Fabric-Switch for Large-Scale Recommendation System Inferences	candidate	在 CXL fabric switch 近数据处理 embedding，比较交换位置和缩减流量；待读行业 DLRM 访问、链路和硬件条件，不直接套作 KV 池或普通 CXL switch 能力。
47	10.1109/micro61859.2024.00053	PIM-MMU: A Memory Management Unit for Accelerating Data Transfers in Commercial PIM Systems	reference	UPMEM 传入／传出阶段受地址转换、布局及 CPU 搬运限制；备查实际传输路径，不把减少软件开销等同于消除所有近存搬运。
54	10.1109/micro61859.2024.00059	Flag-Proxy Networks: Overcoming the Architectural, Scheduling and Decoding Obstacles of Quantum LDPC Codes	exclude	量子 LDPC 纠错的架构调度与解码超出本书 AI 系统主线；完成题名纠正与摘要筛选，不扩展量子计算章节。
55	10.1109/micro61859.2024.00060	Qoncord: A Multi-Device Job Scheduling Framework for Variational Quantum Algorithms	exclude	VQA 的噪声保真度、迭代和 restart 调度不同于 LLM RL；不因名称包含调度就扩展量子云案例。
59	10.1109/micro61859.2024.00064	Over-Synchronization in GPU Programs	candidate	把同步范围与真实依赖对齐可减少等待；待读三类 over-synchronization 的检测及正确性范围，判断能否深化第 5 章 Agent 优化验证，不能直接删除 barrier。
64	10.1109/micro61859.2024.00068	TACOS: Topology-Aware Collective Algorithm Synthesizer for Distributed Machine Learning	candidate	拓扑与集合通信生成适合检验跨卡流量推算；待读算法、评估及实际 artifact 支持范围，不将论文范围等同于当前代码能力。
66	10.1109/micro61859.2024.00070	Uncovering Real GPU NoC Characteristics: Implications on Interconnect Architecture	candidate	真实 GPU 内部的位置、分区与存储路径影响延迟和带宽；待读测量隔离、架构范围及重现条件，再校准第 4 章供数模型。
67	10.1109/micro61859.2024.00071	MINT: Securely Mitigating Rowhammer with a Minimalist in-DRAM Tracker	exclude	DRAM 内 Rowhammer 跟踪与刷新约束超出本书主线，不展开安全阈值和攻击模式。
