number	decision	reason
1	候选	Horus 用交换机维护短任务调度状态；可补 12 的 CPU 短工具任务，但微秒任务假设不等于 token 调度。
2	候选	RUMMY 对超过 GPU 容量的向量检索重排与流水；可补 5／12 检索工具的访存预算，须保留检索质量和数据条件。
3	排除	LoLKV 是 RDMA 键值数据库的复制与线性一致性；与模型 KV cache 的身份和用途不同，不为同名扩写。
4	候选	Junction 从 NIC 队列与固定内存限制解释内核旁路实例密度；可补 12 运行环境，但不能归成轻量 VM 的隔离保证。
5	备查	Sifter 用桶与 PIFO 的资源速度比实现排序；7 已有队列与反馈主线，待有具体 AI 流量需求再补硬件调度细节。
6	备查	QCLIMB 用流长上下界代替精确预知；可检验 7 的调度假设，暂不再加入一个拥塞／优先级算法。
7	备查	Pudica 对云游戏帧选择 paced sending 和 BUR 反馈；8 仅保留实时 AI 场景，不能照搬游戏收益。
8	候选	ACC 以包守恒区分真实拥塞与队头阻塞受害流；可补 7.5 无损以太网的反馈条件，需读正文检验适用拓扑。
9	备查	Autothrottle 将应用 SLO 与服务 CPU 节流反馈连接；12 需结合实际 AI 多阶段依赖，暂不增加通用微服务背景。
10	候选	Jolteon 用随机延迟与机会约束配置 Serverless 工作流；可补 12 环境资源与期限，但须重新映射 Agent 任务。
11	候选	Can’t Be Late 的 Spot 加按需备份考虑截止时间和未知可用性；可补 12 调度，不把历史云价当当前报价。
12	排除	AutoVP 聚焦汽车座舱异构虚拟化和媒体子系统；与本书 Agent 工具／RL 环境范围相距较远。
13	备查	MuCache 缓存跨微服务调用并保持观察等价；可参照 12 工具结果复用，不能当模型前缀缓存。
14	候选	生产 DCTCP 部署经验补 7.5 新旧流量共存、公平和实现问题；先查与现有 ECN 内容重叠。
15	备查	TECC 处理 QUIC 隧道内外拥塞反馈失配；8 若补实际 AI 上传代理路径可引用，不另开隧道协议史。
16	排除	iStack 是 NDN 的 OS 内核网络栈；不是本书当前 AI 数据路径主线。
17	备查	Cloudcast 的跨地域复制考虑吞吐与出口费用；10／12 权重分发可参照，明确是 WAN 而非 7 的跨超节点网络。
18	采用	已读正文 §2–8；补 7.3.2 在途窗口与竞争反馈，区分同路径流量和不同入口公平。Gen3 平台测值不外推全部 PCIe／CXL／UB。
19	排除	Alea-BFT 聚焦异步拜占庭共识；不扩展为本书通用分布式系统内容。
20	备查	Harmony 在无故障条件下承诺消息延迟与队列界；可检验 7 反馈与保证边界，不能省略故障假设。
21	排除	SwiftPaxos 的跨地域状态机复制与争用投票优化不直接补模型切分或推理状态主线。
22	排除	Bedrock 是 BFT 协议分析与实现平台；不增加共识协议谱系。
23	备查	DINT 以 eBPF 加速内核内事务，提示旁路并非唯一选择；与 7 主机路径重复，暂不引入数据库细节。
24	备查	Brain-on-Switch 将受限 RNN 数据平面与主机 Transformer 组合；13 可参照约束驱动分工，非通用 LLM 上交换机方案。
25	排除	IPFS 的索引、DHT 与 HTTP 网关集中化经验不直接解决既定 AI Infra 算例。
26	备查	BBQ 用流水化整数优先队列兼顾流数和包速；与 5／7 已有资源约束相通，暂不细讲交换机队列实现。
27	备查	Sirius 组合 P4 网络函数链并在 ASIC／CPU 间切分；13 可作编译与硬件容量类比，非模型算子融合本身。
28	备查	RAPID 用侧环与推测执行处理流水状态依赖；需要专门数据平面背景，暂不进入核心章节。
29	备查	GRACE 是有损实时视频的联合训练编解码器；与 OSDI 2026 图执行 GraCE 区分，8 不展开视频压缩专题。
30	备查	LiFteR 通过改变帧依赖提升神经编解码并行；13 可说明依赖与流水，但本书 8 的 AI 交互例子已足够。
31	备查	MadEye 改变摄像机方向以提高分析质量／资源效率；属于输入采集控制，避免扩展到摄像机专题。
32	备查	Gemino 的低码率人像恢复依赖参考图与个性化；不能套到保留 RAW 信息的精修或 Computer Use 截图。
33	排除	ARTEMIS 的直播码率阶梯优化不是本书既定 AI 服务的关键限制，不增加传统直播背景。
34	备查	Credence 的学习预测受硬件丢弃能力限制并有误差退化界；7 已有反馈推算，暂不加独立 ML 缓冲算法。
35	备查	Seer 提前通知在途包以改善状态缓存；与 OSDI 2026 同名 RL 系统不同，不等于预知未来 LLM 请求。
36	候选	Reverie 协调入口／出口缓冲视图与 RDMA／TCP 混合突发；可补 7.5 共享缓冲隔离，先读具体队列条件。
37	备查	TE 权重分布受交换机表资源与精度限制；可补 7.5 理想选路与实际映射，暂不细分多种路由算法。
38	排除	SwitchVM 是 P4 数据平面的多租户程序沙箱；与第 12 章 Agent 的云沙箱不是同一种运行环境。
39	候选	六个月 LLM 集群开发记录涵盖利用率、故障与评估调度；可补 11／12，需辨明观测范围和生产工作负载年代。
40	备查	QuickUpdate 用稀疏更新、优先级与弱一致性降低推荐模型分发；不能直接移为 RL 的无损权重同步。
41	采用	已读 §3–8；补 7.6.3 的就绪偏差、11.3 的固定 batch 扩展和 11.4 初始化。保留 2023 集群及旧基线，不将全部 MFU 收益归给网络。
42	候选	TPUv4 以 OCS 重构绕过硬件故障并协调维修；可补 6／7／11 可用性与进度，区别 TPU 架构论文及可用率口径。
43	备查	NN-defined modulator 将物理层调制映射到神经网络以跨设备执行；13 可作结构适配类比，暂不增加 IoT 调制专题。
44	排除	MOSAIC 聚焦移动运营商和卫星多租户接入；与本书模型执行及数据中心资源约束相距较远。
45	备查	Serval 在星地带宽、能量约束下分割图像分析；可参照 8／13 计算位置，但不以轨道与灾害检测替换既定交互案例。
46	排除	Spectrumize 利用多普勒效应改善卫星 IoT 检测与解码；不进入模型 Infra 主线。
47	备查	Zipper 用模型预测控制提供应用级 RAN 保障；8 可比较端到端时限，但不扩展完整 5G 切片控制。
48	备查	CHISEL 是长途光网络切片，需频谱、光程和配置信息；不能归为第 7 章超节点间数据中心交换。
49	备查	LuoShen 把多服务网络功能折叠到 P4 网关以节约预算；13 的专用硬件取舍可参照，暂不重复网络函数编译案例。
50	备查	Sprinter 复用浏览器计算加速同站点批量爬取；与逐轮状态变化的 Computer Use 不同，12 若涉及检索采集工具再核。
51	候选	Hairpin 在边缘实时流中分开配置首传和重传冗余；8 的截图／语音时限可参照，但须验证往返时延和错误恢复条件。
52	候选	MetaOpt 寻找启发式的反例和性能差距；13 可补模型化后的反证方法，先与已有调优反馈内容比较，不堆求解器细节。
53	备查	CCA 形式化分析给出必要动作、信息条件及不可能性；7 可参照反馈边界，暂不引入完整合成框架。
54	排除	EPVerifier 中 EP 指 edge predicate；是网络规则更新验证，不是专家并行，避免因缩写相同误收录。
55	备查	Netcastle 用大规模持续网络测试提高变更可靠性；7／13 可留工程背景，当前诊断和故障主线不需再开 CI 平台小节。
56	排除	MESSI 生成 BGP 黑盒行为测试；不扩展至通用路由协议验证章节。
57	候选	Slim Fly 有 200 服务器的实际低直径网络部署与 DNN 评估；6／7 比较拓扑成本时应读布线、路由和负载条件。
58	备查	Crescent 以真实交换机镜像和对称子网控制仿真范围；符合先判边界再模拟的方法，暂不展开通用网络仿真平台。
59	备查	Jingubang 推算生产 WAN 变更后的流量负载；可参照约束检查，但不将 WAN BGP 逻辑混入跨超节点网络。
60	排除	POSEIDON 是虚拟网络配置控制器；其树形依赖优化不直接补现有模型调度算例。
61	候选	OPPerTune 处理上线后配置搜索的扰动和离散／连续参数；13 可补离线最优与动态负载变化，需与 Agent 调优区分。
62	候选	Parcae 把抢占后的预期训练吞吐与迁移成本纳入并行选择；11／12 可补 Spot，须检验可用性预测误差及 liveput 口径。
63	候选	Herald 用可预见 embedding 访问调整训练位置和同步；11／13 可对比数据与状态移动，不能直接等同于 MoE 专家路由。
64	候选	DISTMM 日程题名与摘要系统名 DISTIMM 均保留；多模态子模块采用不同并行且受对比损失跨样本依赖约束，可补 3／11。
65	候选	NIRVANA 复用相近提示的扩散噪声中间状态；9／13 可比较近似复用与精确缓存，须保留质量／随机性条件。
66	候选	THC 在压缩域直接聚合以省 PS 解压重压，可与 6／11 通信压缩对照；目标精度和到达该精度的时间必须一起比较。
67	排除	TurboDB 通过单机／分布式数据库混合结构处理事务偏斜；不因“热点”类比就扩写数据库机制。
