program_order	doi	title	decision	reason	basis
1	10.1145/3725843.3756043	Stratum: System-Hardware Co-Design with Tiered Monolithic 3D-Stackable DRAM for Efficient MoE Serving	candidate	由专家访问倾斜决定分层驻留，但 Mono3D 内部延迟、容量和热约束需要正文核对；与既有 AF 和近存计算案例比较，不能把新存储技术当作现成 GPU 功能。	title_and_full_abstract
2	10.1145/3725843.3756071	Kelle: Co-design KV Caching and eDRAM for Efficient LLM Serving in Edge Computing	reference	eDRAM 的容量密度同时带来刷新能耗，KV 淘汰、重算和刷新控制可作容量之外的代价背景；保留质量与专用芯片条件，不扩展端边云章节。	title_and_full_abstract
14	10.1145/3725843.3762817	StreamTensor: Make Tensors Stream in Dataflow Accelerators for LLMs	candidate	分块、融合与资源分配共同决定流式执行；待读 buffer 容量、布局类型和 FPGA 评估，比较第 5 章已有图级优化是否还缺一个可复算的约束，不能把 FPGA 结果泛化到 GPU。	title_and_full_abstract
25	10.1145/3725843.3756041	Dissecting and Modeling the Architecture of Modern GPU Cores	candidate	微基准与编译器依赖管理可用来检验模型假设；已取得正式题名的机构稿，待读具体硬件代际、测量与预测范围，不采用早期稿误差或把逆向推断当作厂商规格。	title_and_full_abstract
30	10.1145/3725843.3756078	LLM.265: Video Codecs are Secretly Tensor Codecs	candidate	用视频编解码器处理模型张量可检验少传字节与编码代价的交点；待读质量、张量表示、压缩与解压吞吐，以及现有视频引擎和修改后硬件的区别，再考虑第 5、8、10 章的压缩算例。	title_and_full_abstract
36	10.1145/3725843.3756110	A TRRIP Down Memory Lane: Temperature-Based Re-Reference Interval Prediction For Instruction Caching	reference	CPU 指令缓存的编译器提示可作软硬协同背景；移动程序的前端瓶颈不同于当前 LLM 算子，现有案例优先，不据通用移动应用结果增加推理优化。	title_and_full_abstract
38	10.1145/3725843.3756048	Distributed-HISQ: A Distributed Quantum Control Architecture	exclude	分布式量子控制的同步精度和保真度有专门语义，不直接对应 GPU 集合通信或 RL 任务同步；不展开量子控制系统。	title_and_full_abstract
39	10.1145/3725843.3756053	Accurate Leakage Speculation for Quantum Error Correction	exclude	量子纠错中的泄漏状态推断与校正电路超出 AI Infra 主线；不将 leakage speculation 混为模型推测解码。	title_and_full_abstract
76	10.1145/3725843.3756036	Flexing RISC-V Instruction Subset Processors to Extreme Edge	exclude	面向柔性电子的指令子集芯片强调工艺、面积与可弯曲性，不是本书模型服务的端侧算力配置；只保留筛选记录。	title_and_full_abstract
77	10.1145/3725843.3756038	ReGate: Enabling Power Gating in Neural Processing Units	candidate	不同 NPU 部件的空闲模式决定软硬件各负责哪种断电控制；待读唤醒代价、空闲区间与模拟功耗模型，可能校准第 4 章能耗推算，不宣称所有芯片都有摘要中的静态功耗占比。	title_and_full_abstract
94	10.1145/3725843.3756042	ρHammer: Reviving RowHammer Attacks on New Architectures via Prefetching	exclude	DRAM 扰动漏洞及攻击技术超出模型服务性能主线，不转化成内存预取优化实验。	title_and_full_abstract
102	10.1145/3725843.3756080	Boosting Task Scheduling Data Locality with Low-latency, HW-accelerated Label Propagation	reference	任务就绪不等于应该立刻放到任意空闲核；局部性提示与利用率取舍已有 AI 放置案例，FPGA 加速的细粒度任务调度暂留背景，不当作集群调度器已有功能。	title_and_full_abstract
118	10.1145/3725843.3756030	Delegato: Locality-Aware Atomic Memory Operations on Chiplets	reference	原子操作的位置改变 cache line 迁移与串行点；保留作为 chiplet 通信背景，gem5 CPU 工作负载不直接证明 GPU 或模型路由性能，不扩展原子指令专题。	title_and_full_abstract
