group	id	priority	sections	locator	use	boundary	title	source_page	file	version	new_in_survey
需求与资源模型	scaling-inference	核心	9	§2–3；PDF pp.2–7	从权重、KV、计算与集合通信分别记账，解释增加芯片后延迟与单位成本为何不同时改善	PaLM／TPU v4 历史条件；忽略注意力 FLOPs 的近似不适用于所有长上下文算例	Efficiently Scaling Transformer Inference	https://arxiv.org/abs/2211.05102v1	files/papers/scaling-inference.pdf	2211.05102v1	yes
需求与资源模型	roofline	核心	1,4,13	Roofline 模型及 operational intensity 定义	先估算运算强度与供给，再用实测有效带宽校准	单算子上界不能直接代替排队与端到端延迟	Roofline: An Insightful Visual Performance Model for Floating-Point Programs and Multicore Architectures	https://digicoll.lib.berkeley.edu/record/136692	files/papers/roofline.pdf	SHA-256 见 manifest	no
需求与资源模型	test-time-compute	专题	3,13	Figure 1；§5–7	将多候选、修订、验证器等执行量计入推理预算，比较不同问题难度下的分配	特定模型与数学任务；FLOPs 最优不等于交互延迟最优	Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters	https://arxiv.org/abs/2408.03314v1	files/papers/test-time-compute.pdf	2408.03314v1	yes
模型结构与公司报告	transformer	核心	2	§3；Figure 1	从依赖关系推导训练与 prefill 的并行空间，再说明自回归 decode 的串行性	避免把数学注意力矩阵等同于必须物化的中间张量	Attention Is All You Need	https://arxiv.org/abs/1706.03762	files/papers/transformer.pdf	1706.03762v7	no
模型结构与公司报告	mqa	核心	2	Incremental Inference 及性能实验	用 KV head 数变化复算状态字节和读取量	原实验质量结论不外推到所有任务和架构	Fast Transformer Decoding: One Write-Head is All You Need	https://arxiv.org/abs/1911.02150	files/papers/mqa.pdf	1911.02150v1	no
模型结构与公司报告	gqa	核心	2	§2；Figure 2	在 MHA 与 MQA 之间引入 KV 分组，连到容量和并行切分	质量、uptraining 条件与推理实现分别引用	GQA: Training Generalized Multi-Query Transformer Models from Multi-Head Checkpoints	https://arxiv.org/abs/2305.13245	files/papers/gqa.pdf	2305.13245v3	no
模型结构与公司报告	deepseek-v2	核心	8	Multi-Head Latent Attention 小节	按实际缓存的潜变量与位置相关分量核算 MLA 状态	不能只用压缩维度代替全部状态，也不能假设每种后端均执行相同吸收路径	DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model	https://arxiv.org/abs/2405.04434	files/papers/deepseek-v2.pdf	2405.04434v5	no
模型结构与公司报告	deepseek-v3	核心	3,6,9,10	§2.2；§3.4–3.5，PDF pp.18–20	MTP、推理部署及硬件建议分别接到草稿验证、EP 和协同设计	训练 FP8、推理精度、费用估算是不同口径；MTP 不自动等于无代价多 token 输出	DeepSeek-V3 Technical Report	https://arxiv.org/abs/2412.19437	files/papers/deepseek-v3.pdf	2412.19437v2	no
模型结构与公司报告	llama3	核心	3,10	§3.2；§6.1–6.2，PDF pp.51–53	把 GQA 模型配置、流水并行和 FP8 推理连成公司部署案例	该报告的推理方案不代表所有 Llama 服务；记录 405B、设备和精度条件	The Llama 3 Herd of Models	https://arxiv.org/abs/2407.21783	files/papers/llama3.pdf	2407.21783v3	no
模型结构与公司报告	qwen3	专题	2,3	§2；§4.3、§4.7	用稠密／MoE 型号和 thinking budget 解释模型结构、输出长度与资源需求	仅支持 Qwen3；Qwen3.5 使用自己的配置与报告	Qwen3 Technical Report	https://arxiv.org/abs/2505.09388v1	files/papers/qwen3.pdf	2505.09388v1	yes
模型结构与公司报告	mixtral	专题	2,9	§2；§5，PDF pp.2、7–8	分开总参数、每 token 激活参数与实际专家负载；利用路由分析组织算例	激活参数节省不能按同倍率折算驻留容量或通信	Mixtral of Experts	https://arxiv.org/abs/2401.04088v1	files/papers/mixtral.pdf	2401.04088v1	yes
模型结构与公司报告	deepseek-r1	专题	3,10	PDF p.4 的训练中回答长度与准确率曲线；Methods	解释推理型模型的长输出、RL 采样与预算变化	本地是 2026-01-04 v2；首次提交为 2025；训练曲线不是在线用户长度分布	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	https://arxiv.org/abs/2501.12948v2	files/papers/deepseek-r1.pdf	2501.12948v2	yes
模型结构与公司报告	deepseek-infra	核心	7,9	§2.1–2.3、§4–5	将 MLA／MoE 的算存需求与多平面网络、硬件设计建议放在同一案例中核算	公司经验与设计建议分别表述，不能当作所有系统的必要架构	Insights into DeepSeek-V3: Scaling Challenges and Reflections on Hardware for AI Architectures	https://arxiv.org/abs/2505.09343v2	files/papers/deepseek-infra.pdf	2505.09343v2	yes
算子与低精度	flashattention	核心	5	§3.1–3.2，PDF pp.4–6	在注意力推导后计算分块、融合与重计算减少的 HBM 访问	精确注意力算法；不声称消除全注意力的二次计算量	FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness	https://arxiv.org/abs/2205.14135	files/papers/flashattention.pdf	2205.14135v2	no
算子与低精度	flashattention2	专题	5	§3 的 work partitioning	同一个数学算子，用线程块和 warp 分工解释有效算力变化	架构与形状相关，不能累乘不同论文的加速比	FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning	https://arxiv.org/abs/2307.08691	files/papers/flashattention2.pdf	2307.08691v1	no
算子与低精度	flashattention3	专题	5	Asynchrony、Warp Specialization、Low-precision 相关小节	把异步搬运、矩阵计算与 softmax 放到执行时间线上	Hopper 实现结论不直接移植到 Apple 或昇腾	FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision	https://arxiv.org/abs/2407.08608	files/papers/flashattention3.pdf	2407.08608v2	no
算子与低精度	flashinfer	核心	5,8	§3.1–3.3，PDF pp.4–7	解释 KV 物理格式、可组合注意力、动态调度和图执行之间的接口	引擎论文固定快照，不替代当前支持列表和内核代码	FlashInfer: Efficient and Customizable Attention Engine for LLM Inference Serving	https://arxiv.org/abs/2501.01005v2	files/papers/flashinfer.pdf	2501.01005v2	yes
