layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes
global,embedding,embedding,"{""indices"": [1, 1], ""table"": [151936, 4096], ""output"": [1, 4096]}",0,0,{},8192,8,8192,每 token 一次行查找，不读取整个词表；重复 token 是否缓存未假定。int64 输入索引。
global,rope_table,position,"{""frequencies"": [1, 64], ""cos_sin_each"": [1, 128]}",0,64,"{""sin"": 128, ""cos"": 128}",0,264,512,同位置 ID 批共享，所有层复用；inv_freq 固定不计初始化。参考路径复制频率后求 sin/cos；转换另计。
0,input_layernorm,normalization,"{""input"": [1, 4096], ""weight"": [4096], ""output"": [1, 4096]}",0,16385,"{""rsqrt"": 1}",8192,8192,8192,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
0,q_proj,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 4096], ""weight_storage"": [4096, 4096], ""output"": [1, 4096]}",33554432,0,{},33554432,8192,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,k_proj,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 1024], ""weight_storage"": [1024, 4096], ""output"": [1, 1024]}",8388608,0,{},8388608,8192,2048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,v_proj,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 1024], ""weight_storage"": [1024, 4096], ""output"": [1, 1024]}",8388608,0,{},8388608,8192,2048,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,q_norm,normalization,"{""input"": [32, 128], ""weight"": [128], ""output"": [32, 128]}",0,16416,"{""rsqrt"": 32}",256,8192,8192,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
0,k_norm,normalization,"{""input"": [8, 128], ""weight"": [128], ""output"": [8, 128]}",0,4104,"{""rsqrt"": 8}",256,2048,2048,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
0,apply_rope,position,"{""Q"": [1, 32, 1, 128], ""K"": [1, 8, 1, 128]}",0,15360,"{""negate"": 2560}",0,10752,10240,2 multiply + 1 add/元素，rotate_half 符号翻转分列；表按批／头理想复用。
0,kv_append,state,"{""new_K_and_V_each"": [1, 8, 1, 128]}",0,0,{},0,4096,4096,原位／分页 append 载荷；不假定动态 torch.cat 对旧缓存整段复制。
0,qk,attention,"{""Q"": [1, 32, 1, 128], ""K_shared"": [1, 8, 8193, 128], ""scores_rectangular"": [1, 32, 1, 8193]}",67117056,0,{},0,16787456,1048704,FLOPs 仅有效因果位置；载荷是假定 Q/K 各读一次、GQA 头共享，完整分数矩阵物化。
0,score_scale_mask_softmax,softmax,"{""scores"": [1, 32, 1, 8193]}",0,1048672,"{""exp"": 262176, ""compare_max"": 262144, ""mask_decisions"": 262176}",0,1048704,1048704,选择的融合 scale/mask/softmax 代数工作；屏蔽点不计 exp。物化 FP32 默认概率；非具体 eager trace。
0,pv,attention,"{""P"": [1, 32, 1, 8193], ""V_shared"": [1, 8, 8193, 128], ""output"": [1, 32, 1, 128]}",67117056,0,{},0,17827968,8192,PV/AV：各 Q 头仍计算；V 容量不乘 GQA 复制数。载荷假定 V 在头／查询之间理想复用。
0,o_proj,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 4096], ""weight_storage"": [4096, 4096], ""output"": [1, 4096]}",33554432,0,{},33554432,8192,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,attention_residual,residual,"{""inputs_each"": [1, 4096], ""output"": [1, 4096]}",0,4096,{},0,16384,8192,
0,post_attention_layernorm,normalization,"{""input"": [1, 4096], ""weight"": [4096], ""output"": [1, 4096]}",0,16385,"{""rsqrt"": 1}",8192,8192,8192,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。
0,gate_proj,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 12288], ""weight_storage"": [12288, 4096], ""output"": [1, 12288]}",100663296,0,{},100663296,8192,24576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,up_proj,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 12288], ""weight_storage"": [12288, 4096], ""output"": [1, 12288]}",100663296,0,{},100663296,8192,24576,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,silu_mul,activation,"{""gate"": [1, 12288], ""up"": [1, 12288], ""output"": [1, 12288]}",0,49152,"{""exp"": 12288, ""negate"": 12288}",0,49152,24576,"sigmoid: exp(-x), +1, reciprocal；再乘 x 和 up。exp 与取负分列。"
0,down_proj,linear,"{""input"": [1, 12288], ""weight_math"": [12288, 4096], ""weight_storage"": [4096, 12288], ""output"": [1, 4096]}",100663296,0,{},100663296,24576,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。
0,ffn_residual,residual,"{""inputs_each"": [1, 4096], ""output"": [1, 4096]}",0,4096,{},0,16384,8192,
